XGBoost_Clean_AbsResidual,XGBoost_100Noise_AbsResidual,LLM_DeepMLP_Clean_AbsResidual,LLM_DeepMLP_100Noise_AbsResidual
0.2096853637695304,0.5259027099609384,2.080724294491791,1.982753743772335
0.00399477767944334,0.01239241647720335,0.016658213633818253,0.016329587020404435
0.8391417694091814,1.086959762573244,1.8641400917713824,1.7855823087413256
0.010026420116424517,0.0021012077331542534,0.014298423409396133,0.009398283425281817
1.2539270782470702,2.153169479370117,0.3505754949242075,0.07686565636916498
0.0009818091392517214,0.0035622701644897337,0.02402619066920575,0.024021659137739793
0.8207794189453139,1.0525165557861342,0.012157129817467194,0.30969870680856815
0.04206945228576664,0.044231610774993935,0.0016790371947036364,0.0017086761577405074
0.8060729217529286,0.09316947937011832,1.1932687489232485,1.0433834322713764
0.013228214740753197,0.008684135437011742,0.01735584549356506,0.022871043085396336
0.5828262329101577,0.3109031677246108,0.9524134914952,0.3420959908537782
0.0056658895492553984,0.007828048038482693,0.005415877472970676,0.016043516481275888
1.2560729217529314,0.3568305206298845,1.1684553062426453,2.0940262581761147
0.01098180913925173,0.006437729835510275,0.0220350697653916,0.01072675572843651
0.4792205810546868,0.24748344421386648,0.34120977271438946,1.1915739359169066
0.021330547714233372,0.019168389225006077,0.029541496942876,0.04319414191570281
1.2270668029785154,0.46342058181762713,0.45514351070869097,0.5577808036531664
0.06463541316986088,0.06876804161071781,0.03389987432088559,0.051029117437542904
1.0476944885253907,1.3061530151367187,0.8220712865218598,0.2835623913251375
0.017289933204650887,0.0002343621253967365,0.004088657150034702,0.004381236060790328
0.045956516265869496,1.6182676315307614,1.173380564745183,1.2878777667284922
0.012463292121887237,0.017558714389801056,0.0032684936213988047,0.002100581681146574
1.2652147750854503,3.4796226959228527,1.2866433225395557,1.576025564095536
0.011223834991455073,0.03322730684280395,0.03890167034257297,0.03758961731145338
5.217153930664061,8.494770431518553,0.6753387994487632,1.789788681985053
0.048492551326751676,0.048094153881072965,0.0018477690731119045,0.03642796261609382
6.457482910156251,10.38659248352051,1.0882499003290995,2.0629097806642562
0.10010600280761717,0.11971789789199827,0.08462768846194346,0.13121169154538248
5.950424003601075,8.951188850402833,2.408734703681551,2.477361749008381
0.1337255115509033,0.16393368196487423,0.060846669530776,0.06606565055921998
6.439234161376952,10.515213394165038,5.79722867673037,5.501967887079424
0.12211765146255493,0.13920570707321167,0.11166373991697331,0.11381538582487849
1.748981094360353,2.6482234954834,0.3015544420822174,0.17521000130060926
0.04913144445419315,0.05445074176788334,0.002043324662434731,0.025730125115592473
0.6646182250976551,0.819332809448241,0.9016715643326378,1.0869949850924456
0.02240374288558955,0.024914111709594677,0.01935518268425518,0.01849455343774109
1.2516350555419926,2.4669270324707036,2.0880278061139066,2.781885058166317
0.04371134138107302,0.047913409233093285,0.008858260293509224,0.019697815202747937
0.030456848144531534,0.32962257385253935,1.7338356184496604,2.2355230557346246
0.030716695404052752,0.03972212276458742,0.02144924197581677,0.05148501992036236
0.39532546997070384,1.6834476470947273,2.1504438893696296,2.385362790766079
0.00930798387527465,0.013510051727294914,0.029262489858672303,0.045792769646910925
0.3714247131347648,0.6705904388427726,1.297928216458594,1.2282908346661685
0.008190750789642376,0.017196178150177044,0.025568531849242127,0.05618853649411992
2.2658779144287102,5.643048477172851,0.7769234463693131,2.0704241009484043
0.013010814666748027,0.013535037517547588,0.02719267311330298,0.033574927909364005
2.9071086883544908,7.277838134765624,1.569173847241352,3.35779174813527
0.06145599365234378,0.09162971258163455,0.02019434249248231,0.030146012859434412
0.15240539550781307,1.019072875976562,1.8584611943234357,2.452979299091954
0.012823942184448267,0.00617844152450564,0.03056274735900888,0.04019586474034487
0.06414245605468594,0.2706510925292953,0.039482527176218696,0.6694871284339747
0.017692130565643338,0.03224728679656985,0.011484281022664744,0.03393965836286417
2.667105865478515,3.664794158935546,0.6624988391996425,0.5616029218786345
0.002702656269073511,0.004768130302429174,0.004637018386658087,0.01058137018158245
3.746087188720704,3.9507647705078135,1.2502040342900678,0.7880781924671503
0.060723232841491726,0.06399761400222781,0.028282010943355584,0.03288694800998171
0.07225341796874929,1.1119688034057624,0.14204309908544488,0.6017173865075831
0.011704529762268101,0.01405491971969608,0.014603742839117695,0.019434915573571798
0.4796441345214859,0.06795565795898284,0.24209378481581822,0.7472045971162036
4.535245895387341e-05,0.009390645503997819,0.011935534858278918,0.010459820098775552
1.427336120605469,0.39257488250732386,0.6766367398533033,0.6350954970871259
0.03833612918853757,0.03603300571441648,0.005070230910285578,0.01791626588899664
1.8753671569824224,1.2578983383178706,1.1613759312890597,1.110580648792988
0.006506237030029283,0.027622434139251695,0.013476387267087664,0.04712087727624614
0.8936999511718753,1.2526763153076175,3.7579070125643135,2.984563723234821
0.021039421558380123,0.018290574550628658,0.00882620577203408,0.025090313345759063
0.14511817932129034,0.17236083984375128,0.6127808232519989,0.1822699678565023
0.02413142423629766,0.034920878219604545,0.021400372008953283,0.032072194686969424
2.066134490966796,3.3218164825439445,0.7587707296007657,1.048782488483134
0.03083635473251345,0.036647688388824484,0.04618086411129607,0.043048382391816076
0.06662712097168111,0.31713638305664205,1.1324457271430575,1.6114023028764564
0.0620619130134582,0.07789606571197505,0.08304458877539034,0.08190282017906836
0.2605635070800787,0.22416435241699162,0.016213445950480576,0.3736521530934702
0.013434324741363524,0.019940588951110838,0.002493830957160159,0.023340036910253104
0.0937306976318375,0.2928922271728531,0.06249137454593523,0.32329576339474286
0.029240573883056675,0.02662130737304691,0.054004370788784284,0.056281034772797556
0.9396138763427722,1.530729827880858,1.7507865435223025,2.423660132280837
0.00017658138275145063,0.006682845592498765,0.023290835956870426,0.02539647114002841
1.5887570953369128,1.7879186248779284,1.590484039171617,2.538792590154646
0.006973214149475049,0.004353947639465283,0.03028288692641501,0.029128805205881902
4.184365844726562,3.364677047729492,0.5273903698851754,0.6004664873761065
0.008696800708770769,0.0015020432472229173,0.004030154851044188,0.0026355402085229684
5.810333480834959,5.810333480834959,0.688348000014745,1.511917667888845
0.007370966434478765,0.000517624378204351,0.036337016177298787,0.051981490621466175
