Noise_Percent,Baseline_R2_mean,Baseline_R2_std,LLM_Enhanced_R2_mean,LLM_Enhanced_R2_std
0.0,0.7199077391584787,0.0,0.8412207983044047,0.0
5.0,0.6883582611590706,0.0008713569826451983,0.7998269602267942,0.00022108945571649272
10.0,0.6703780137265319,0.0037980708792217403,0.7996388252141123,0.00045963602275869605
20.0,0.6596985168320024,0.0018852825206775482,0.798956720576902,0.0009461457285217412
40.0,0.645955452933865,0.001108492003642565,0.7964926670474807,0.0016737171887448098
60.0,0.6440123366081151,0.0005923199929606529,0.7925270182291125,0.0024921958562972336
80.0,0.6392811974121884,0.0013635834099946598,0.7869789467078081,0.0037214656632051655
100.0,0.6362316684126066,0.0018019428690490033,0.7800637781316347,0.005418497779262946
